home,away,score,loc,year
Brazil , England,0–0,"Ullevi, Gothenburg",1958
Soviet Union , Austria,2–0,"Ryavallen, Borås",1958
England , Austria,2–2,"Ryavallen, Borås",1958
Brazil , Soviet Union,2–0,"Ullevi, Gothenburg",1958
Soviet Union , England,1–0,"Ullevi, Gothenburg",1958
Brazil , Wales,1–0,"Ullevi, Gothenburg",1958
France , Northern Ireland,4–0,"Idrottsparken, Norrköping",1958
Sweden , Soviet Union,2–0,"Råsunda Stadium, Solna",1958
West Germany , Yugoslavia,1–0,"Malmö Stadion, Malmö",1958
Brazil , France,5–2,"Råsunda Stadium, Solna",1958
Sweden , West Germany,3–1,"Ullevi, Gothenburg",1958
France , West Germany,6–3,"Ullevi, Gothenburg",1958
Brazil , Sweden,5–2,"Råsunda Stadium, Solna",1958
Uruguay , Colombia,2–1,"Estadio Carlos Dittborn, Arica",1962
Soviet Union , Yugoslavia,2–0,"Estadio Carlos Dittborn, Arica",1962
Yugoslavia , Uruguay,3–1,"Estadio Carlos Dittborn, Arica",1962
Soviet Union , Colombia,4–4,"Estadio Carlos Dittborn, Arica",1962
Soviet Union , Uruguay,2–1,"Estadio Carlos Dittborn, Arica",1962
Yugoslavia , Colombia,5–0,"Estadio Carlos Dittborn, Arica",1962
Chile , Switzerland,3–1,"Estadio Nacional, Santiago",1962
West Germany , Italy,0–0,"Estadio Nacional, Santiago",1962
Chile , Italy,2–0,"Estadio Nacional, Santiago",1962
West Germany , Switzerland,2–1,"Estadio Nacional, Santiago",1962
West Germany , Chile,2–0,"Estadio Nacional, Santiago",1962
Italy , Switzerland,3–0,"Estadio Nacional, Santiago",1962
Brazil , Mexico,2–0,"Estadio Sausalito, Viña del Mar",1962
Czechoslovakia , Spain,1–0,"Estadio Sausalito, Viña del Mar",1962
Brazil , Czechoslovakia,0–0,"Estadio Sausalito, Viña del Mar",1962
Spain , Mexico,1–0,"Estadio Sausalito, Viña del Mar",1962
Brazil , Spain,2–1,"Estadio Sausalito, Viña del Mar",1962
Mexico , Czechoslovakia,3–1,"Estadio Sausalito, Viña del Mar",1962
